colour	key	showSelectedlegendcolour	clickSelects	fill	group
#F8766D	initial 60	initial	60	#F8766D	61
#F8766D	initial 61	initial	61	#F8766D	62
#F8766D	initial 62	initial	62	#F8766D	63
#F8766D	initial 63	initial	63	#F8766D	64
#F8766D	initial 64	initial	64	#F8766D	65
#F8766D	initial 65	initial	65	#F8766D	66
#F8766D	initial 66	initial	66	#F8766D	67
#F8766D	initial 67	initial	67	#F8766D	68
#F8766D	initial 68	initial	68	#F8766D	69
#F8766D	initial 69	initial	69	#F8766D	70
#F8766D	initial 70	initial	70	#F8766D	71
#F8766D	initial 71	initial	71	#F8766D	72
#F8766D	initial 72	initial	72	#F8766D	73
#F8766D	initial 73	initial	73	#F8766D	74
#F8766D	initial 74	initial	74	#F8766D	75
#F8766D	initial 75	initial	75	#F8766D	76
#F8766D	initial 76	initial	76	#F8766D	77
#F8766D	initial 77	initial	77	#F8766D	78
#F8766D	initial 78	initial	78	#F8766D	79
#F8766D	initial 79	initial	79	#F8766D	80
#F8766D	initial 80	initial	80	#F8766D	81
#F8766D	initial 81	initial	81	#F8766D	82
#F8766D	initial 82	initial	82	#F8766D	83
#F8766D	initial 83	initial	83	#F8766D	84
#F8766D	initial 84	initial	84	#F8766D	85
#F8766D	initial 85	initial	85	#F8766D	86
#F8766D	initial 86	initial	86	#F8766D	87
#F8766D	initial 87	initial	87	#F8766D	88
#F8766D	initial 88	initial	88	#F8766D	89
#F8766D	initial 89	initial	89	#F8766D	90
#F8766D	initial 90	initial	90	#F8766D	91
#F8766D	initial 91	initial	91	#F8766D	92
#F8766D	initial 92	initial	92	#F8766D	93
#F8766D	initial 93	initial	93	#F8766D	94
#F8766D	initial 94	initial	94	#F8766D	95
#F8766D	initial 95	initial	95	#F8766D	96
#F8766D	initial 96	initial	96	#F8766D	97
#F8766D	initial 97	initial	97	#F8766D	98
#F8766D	initial 98	initial	98	#F8766D	99
#F8766D	initial 99	initial	99	#F8766D	100
#F8766D	initial 100	initial	100	#F8766D	101
#00BFC4	optimized 0	optimized	0	#00BFC4	102
#00BFC4	optimized 1	optimized	1	#00BFC4	103
#00BFC4	optimized 2	optimized	2	#00BFC4	104
#00BFC4	optimized 3	optimized	3	#00BFC4	105
#00BFC4	optimized 4	optimized	4	#00BFC4	106
#00BFC4	optimized 5	optimized	5	#00BFC4	107
#00BFC4	optimized 6	optimized	6	#00BFC4	108
#00BFC4	optimized 7	optimized	7	#00BFC4	109
#00BFC4	optimized 8	optimized	8	#00BFC4	110
#00BFC4	optimized 9	optimized	9	#00BFC4	111
#00BFC4	optimized 10	optimized	10	#00BFC4	112
#00BFC4	optimized 11	optimized	11	#00BFC4	113
#00BFC4	optimized 12	optimized	12	#00BFC4	114
#00BFC4	optimized 13	optimized	13	#00BFC4	115
#00BFC4	optimized 14	optimized	14	#00BFC4	116
#00BFC4	optimized 15	optimized	15	#00BFC4	117
#00BFC4	optimized 16	optimized	16	#00BFC4	118
#00BFC4	optimized 17	optimized	17	#00BFC4	119
#00BFC4	optimized 18	optimized	18	#00BFC4	120
#00BFC4	optimized 19	optimized	19	#00BFC4	121
#00BFC4	optimized 20	optimized	20	#00BFC4	122
#00BFC4	optimized 21	optimized	21	#00BFC4	123
#00BFC4	optimized 22	optimized	22	#00BFC4	124
#00BFC4	optimized 23	optimized	23	#00BFC4	125
#00BFC4	optimized 24	optimized	24	#00BFC4	126
#00BFC4	optimized 25	optimized	25	#00BFC4	127
#00BFC4	optimized 26	optimized	26	#00BFC4	128
#00BFC4	optimized 27	optimized	27	#00BFC4	129
#00BFC4	optimized 28	optimized	28	#00BFC4	130
#00BFC4	optimized 29	optimized	29	#00BFC4	131
#00BFC4	optimized 30	optimized	30	#00BFC4	132
#00BFC4	optimized 31	optimized	31	#00BFC4	133
#00BFC4	optimized 32	optimized	32	#00BFC4	134
#00BFC4	optimized 33	optimized	33	#00BFC4	135
#00BFC4	optimized 34	optimized	34	#00BFC4	136
#00BFC4	optimized 35	optimized	35	#00BFC4	137
#00BFC4	optimized 36	optimized	36	#00BFC4	138
#00BFC4	optimized 37	optimized	37	#00BFC4	139
#00BFC4	optimized 38	optimized	38	#00BFC4	140
#00BFC4	optimized 39	optimized	39	#00BFC4	141
#00BFC4	optimized 40	optimized	40	#00BFC4	142
#00BFC4	optimized 41	optimized	41	#00BFC4	143
#00BFC4	optimized 42	optimized	42	#00BFC4	144
#00BFC4	optimized 43	optimized	43	#00BFC4	145
#00BFC4	optimized 44	optimized	44	#00BFC4	146
#00BFC4	optimized 45	optimized	45	#00BFC4	147
#00BFC4	optimized 46	optimized	46	#00BFC4	148
#00BFC4	optimized 47	optimized	47	#00BFC4	149
#00BFC4	optimized 48	optimized	48	#00BFC4	150
#00BFC4	optimized 49	optimized	49	#00BFC4	151
#00BFC4	optimized 50	optimized	50	#00BFC4	152
#00BFC4	optimized 51	optimized	51	#00BFC4	153
#00BFC4	optimized 52	optimized	52	#00BFC4	154
#00BFC4	optimized 53	optimized	53	#00BFC4	155
#00BFC4	optimized 54	optimized	54	#00BFC4	156
#00BFC4	optimized 55	optimized	55	#00BFC4	157
#00BFC4	optimized 56	optimized	56	#00BFC4	158
#00BFC4	optimized 57	optimized	57	#00BFC4	159
#00BFC4	optimized 58	optimized	58	#00BFC4	160
#00BFC4	optimized 59	optimized	59	#00BFC4	161
#00BFC4	optimized 60	optimized	60	#00BFC4	162
#00BFC4	optimized 61	optimized	61	#00BFC4	163
#00BFC4	optimized 62	optimized	62	#00BFC4	164
#00BFC4	optimized 63	optimized	63	#00BFC4	165
#00BFC4	optimized 64	optimized	64	#00BFC4	166
#00BFC4	optimized 65	optimized	65	#00BFC4	167
#00BFC4	optimized 66	optimized	66	#00BFC4	168
#00BFC4	optimized 67	optimized	67	#00BFC4	169
#00BFC4	optimized 68	optimized	68	#00BFC4	170
#00BFC4	optimized 69	optimized	69	#00BFC4	171
#00BFC4	optimized 70	optimized	70	#00BFC4	172
#00BFC4	optimized 71	optimized	71	#00BFC4	173
#00BFC4	optimized 72	optimized	72	#00BFC4	174
#00BFC4	optimized 73	optimized	73	#00BFC4	175
#00BFC4	optimized 74	optimized	74	#00BFC4	176
#00BFC4	optimized 75	optimized	75	#00BFC4	177
#00BFC4	optimized 76	optimized	76	#00BFC4	178
#00BFC4	optimized 77	optimized	77	#00BFC4	179
#00BFC4	optimized 78	optimized	78	#00BFC4	180
#00BFC4	optimized 79	optimized	79	#00BFC4	181
#00BFC4	optimized 80	optimized	80	#00BFC4	182
#00BFC4	optimized 81	optimized	81	#00BFC4	183
#00BFC4	optimized 82	optimized	82	#00BFC4	184
#00BFC4	optimized 83	optimized	83	#00BFC4	185
#00BFC4	optimized 84	optimized	84	#00BFC4	186
#00BFC4	optimized 85	optimized	85	#00BFC4	187
#00BFC4	optimized 86	optimized	86	#00BFC4	188
#00BFC4	optimized 87	optimized	87	#00BFC4	189
#00BFC4	optimized 88	optimized	88	#00BFC4	190
#00BFC4	optimized 89	optimized	89	#00BFC4	191
#00BFC4	optimized 90	optimized	90	#00BFC4	192
#00BFC4	optimized 91	optimized	91	#00BFC4	193
#00BFC4	optimized 92	optimized	92	#00BFC4	194
#00BFC4	optimized 93	optimized	93	#00BFC4	195
#00BFC4	optimized 94	optimized	94	#00BFC4	196
#00BFC4	optimized 95	optimized	95	#00BFC4	197
#00BFC4	optimized 96	optimized	96	#00BFC4	198
#00BFC4	optimized 97	optimized	97	#00BFC4	199
#00BFC4	optimized 98	optimized	98	#00BFC4	200
#00BFC4	optimized 99	optimized	99	#00BFC4	201
#00BFC4	optimized 100	optimized	100	#00BFC4	202
